Electoral District Number / No de circonscription,Electoral District Name,Nom de la circonscription,Political Affiliation,Appartenance politique,Candidate's Family Name / Nom de famille du candidat,Candidate's First Name / Prénom du candidat, Candidate's Initial(s) / Initiale(s) du candidat, Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat,Date of Receipt of Notification of Confirmation / Date de réception de l'avis de confirmation,Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
10004,Labrador,Labrador,Liberal Party of Canada,Parti libéral du Canada,Jones,Yvonne,,(844) 896-5551,26-Aug-15,5:54:00
10004,Labrador,Labrador,Conservative Party of Canada,Parti conservateur du Canada,Penashue,Peter,,(709) 897-4019,24-Sep-15,2:30:00
10004,Labrador,Labrador,New Democratic Party,Nouveau Parti démocratique,Rudkowski,Edward,,(709) 896-3315,21-Sep-15,7:50:00
10005,Long Range Mountains,Long Range Mountains,New Democratic Party,Nouveau Parti démocratique,Babstock,Devon,,(709) 215-0576,11-Sep-15,11:50:00
10005,Long Range Mountains,Long Range Mountains,Green Party of Canada,Le Parti Vert du Canada,Cormier,Terry,,,20-Aug-15,11:10:00
10005,Long Range Mountains,Long Range Mountains,Liberal Party of Canada,Parti libéral du Canada,Hutchings,Gudie,,(709) 632-7000,29-Aug-15,4:15:00
10005,Long Range Mountains,Long Range Mountains,Conservative Party of Canada,Parti conservateur du Canada,Ruth,Wayne,,(709) 634-2556,17-Sep-15,8:35:00
10006,St. John's East,St. John's-Est,Communist Party of Canada,Parti communiste du Canada,Burton,Sean,,(709) 770-9326,3-Sep-15,12:05:00
10006,St. John's East,St. John's-Est,New Democratic Party,Nouveau Parti démocratique,Harris,Jack,,(709) 753-5225,17-Aug-15,1:34:00
10006,St. John's East,St. John's-Est,Green Party of Canada,Le Parti Vert du Canada,Peters,David Anthony,,(709) 726-6810,27-Aug-15,2:10:00
10006,St. John's East,St. John's-Est,Conservative Party of Canada,Parti conservateur du Canada,Stapleton,Deanne,,,25-Sep-15,3:15:00
10006,St. John's East,St. John's-Est,Liberal Party of Canada,Parti libéral du Canada,Whalen,Nick,,(709) 221-3760,22-Aug-15,9:32:00
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,New Democratic Party,Nouveau Parti démocratique,Cleary,Ryan,,(709) 745-4667,16-Aug-15,3:39:00
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Conservative Party of Canada,Parti conservateur du Canada,Krol,Marek,,(709) 749-0268,23-Sep-15,3:31:00
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Green Party of Canada,Le Parti Vert du Canada,McLean,Jackson,,(709) 351-0415,24-Sep-15,12:25:00
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Liberal Party of Canada,Parti libéral du Canada,O'Regan,Seamus,,(709) 727-3390,3-Sep-15,12:10:00
11001,Cardigan,Cardigan,New Democratic Party,Nouveau Parti démocratique,Cann,Billy,,(902) 361-2258,1-Sep-15,10:15:00
11001,Cardigan,Cardigan,Green Party of Canada,Le Parti Vert du Canada,Doyle,Teresa,,(902) 838-2973,28-Aug-15,1:20:00
11001,Cardigan,Cardigan,Liberal Party of Canada,Parti libéral du Canada,MacAulay,Lawrence,,(902) 361-3200,27-Aug-15,10:30:00
11001,Cardigan,Cardigan,Conservative Party of Canada,Parti conservateur du Canada,Patkai,Julius,,(902) 218-9478,10-Sep-15,8:07:00
11001,Cardigan,Cardigan,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Squires,Christene,,(902) 962-3747,27-Aug-15,4:00:00
11002,Charlottetown,Charlottetown,New Democratic Party,Nouveau Parti démocratique,Byrne,Joe,,(902) 940-4842,2-Sep-15,1:10:00
11002,Charlottetown,Charlottetown,Liberal Party of Canada,Parti libéral du Canada,Casey,Sean,,(902) 566-5966,12-Sep-15,12:37:00
11002,Charlottetown,Charlottetown,Conservative Party of Canada,Parti conservateur du Canada,MacMillan,Ron,,(902) 628-8206,3-Sep-15,3:55:00
11002,Charlottetown,Charlottetown,Green Party of Canada,Le Parti Vert du Canada,Viau,Becka,,(902) 314-0772,18-Sep-15,3:00:00
11003,Egmont,Egmont,New Democratic Party,Nouveau Parti démocratique,Dickieson,Herb,,(902) 807-9240,20-Aug-15,5:25:00
11003,Egmont,Egmont,Green Party of Canada,Le Parti Vert du Canada,Ling,Nils,,,25-Sep-15,12:07:00
11003,Egmont,Egmont,Liberal Party of Canada,Parti libéral du Canada,Morrissey,Bobby,,(902) 436-8281,19-Aug-15,5:25:00
11003,Egmont,Egmont,Conservative Party of Canada,Parti conservateur du Canada,Shea,Gail,,(902) 888-2015,12-Aug-15,10:05:00
11004,Malpeque,Malpeque,Liberal Party of Canada,Parti libéral du Canada,Easter,Wayne,,(902) 370-2481,18-Aug-15,1:45:00
11004,Malpeque,Malpeque,New Democratic Party,Nouveau Parti démocratique,Hayward,Leah-Jane,,(902) 621-0406,26-Aug-15,11:15:00
11004,Malpeque,Malpeque,Green Party of Canada,Le Parti Vert du Canada,Lund,Lynne,,(902) 836-3215,31-Aug-15,4:30:00
11004,Malpeque,Malpeque,Conservative Party of Canada,Parti conservateur du Canada,Stewart,Stephen,,(902) 621-2640,17-Aug-15,11:00:00
12001,Cape Breton--Canso,Cape Breton--Canso,Green Party of Canada,Le Parti Vert du Canada,Coady,Maria Goretti,,0,18-Sep-15,5:00:00
12001,Cape Breton--Canso,Cape Breton--Canso,Liberal Party of Canada,Parti libéral du Canada,Cuzner,Rodger,,(902) 849-2233,19-Sep-15,5:45:00
12001,Cape Breton--Canso,Cape Breton--Canso,Conservative Party of Canada,Parti conservateur du Canada,Rodgers,Adam Daniel,,(844) 482-8679,12-Sep-15,11:00:00
12001,Cape Breton--Canso,Cape Breton--Canso,New Democratic Party,Nouveau Parti démocratique,Smith,Michelle,,,19-Sep-15,5:30:00
12002,Central Nova,Nova-Centre,Conservative Party of Canada,Parti conservateur du Canada,DeLorey,Fred,,(902) 752-7731,31-Aug-15,12:53:00
12002,Central Nova,Nova-Centre,Liberal Party of Canada,Parti libéral du Canada,Fraser,Sean,,(902) 752-7995,18-Aug-15,10:54:00
12002,Central Nova,Nova-Centre,Green Party of Canada,Le Parti Vert du Canada,Hachey,David,,(902) 485-8334,10-Sep-15,12:04:00
12002,Central Nova,Nova-Centre,New Democratic Party,Nouveau Parti démocratique,Landry,Ross,,(902) 755-5788,21-Aug-15,3:14:00
12002,Central Nova,Nova-Centre,Independent,Indépendant,MacKenzie,Alexander J.,,(902) 755-2193,18-Sep-15,3:32:00
12003,Cumberland--Colchester,Cumberland--Colchester,Conservative Party of Canada,Parti conservateur du Canada,Armstrong,Scott,,(902) 893-8679,12-Aug-15,7:15:00
12003,Cumberland--Colchester,Cumberland--Colchester,Green Party of Canada,Le Parti Vert du Canada,Blanch,Jason Matthew,,(902) 694-2360,22-Aug-15,3:30:00
12003,Cumberland--Colchester,Cumberland--Colchester,Liberal Party of Canada,Parti libéral du Canada,Casey,Bill,,(902) 897-1727,25-Aug-15,12:15:00
12003,Cumberland--Colchester,Cumberland--Colchester,Independent,Indépendant,Jackson,Kenneth,,(902) 669-2019,20-Aug-15,3:00:00
12003,Cumberland--Colchester,Cumberland--Colchester,Independent,Indépendant,Plett,Richard Trueman,,(902) 664-7275,28-Sep-15,6:57:00
12003,Cumberland--Colchester,Cumberland--Colchester,New Democratic Party,Nouveau Parti démocratique,Robinson,Wendy,,(902) 843-4390,28-Aug-15,5:25:00
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,New Democratic Party,Nouveau Parti démocratique,Chisholm,Robert,,(902) 404-2163,20-Aug-15,4:30:00
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Conservative Party of Canada,Parti conservateur du Canada,Cole,Jason,,(902) 461-2015,8-Aug-15,1:00:00
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Liberal Party of Canada,Parti libéral du Canada,Fisher,Darren,,(902) 462-4442,20-Aug-15,4:30:00
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Green Party of Canada,Le Parti Vert du Canada,Nheiley,Brynn,,(902) 789-1595,31-Aug-15,2:30:00
12005,Halifax,Halifax,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Bezanson,Allan,,(416) 253-4475,15-Sep-15,11:45:00
12005,Halifax,Halifax,Conservative Party of Canada,Parti conservateur du Canada,Carvery,Irvine,,(902) 455-7373,15-Sep-15,10:45:00
12005,Halifax,Halifax,Liberal Party of Canada,Parti libéral du Canada,Fillmore,Andy,,(902) 456-7796,28-Aug-15,1:00:00
12005,Halifax,Halifax,New Democratic Party,Nouveau Parti démocratique,Leslie,Megan,,(902) 423-0637,19-Aug-15,9:00:00
12005,Halifax,Halifax,Green Party of Canada,Le Parti Vert du Canada,Trappenberg,Thomas,,,4-Sep-15,11:59:00
12006,Halifax West,Halifax-Ouest,New Democratic Party,Nouveau Parti démocratique,Hussey,Joanne,,(902) 406-2640,21-Aug-15,3:55:00
12006,Halifax West,Halifax-Ouest,Conservative Party of Canada,Parti conservateur du Canada,McGinnis,Michael,,(902) 832-9091,25-Sep-15,11:30:00
12006,Halifax West,Halifax-Ouest,Liberal Party of Canada,Parti libéral du Canada,Regan,Geoff,,(902) 444-3633,13-Aug-15,3:34:00
12006,Halifax West,Halifax-Ouest,Green Party of Canada,Le Parti Vert du Canada,Zurawski,Richard Henryk,,(902) 233-4291,26-Sep-15,9:32:00
12007,Kings--Hants,Kings--Hants,Liberal Party of Canada,Parti libéral du Canada,Brison,Scott,,(902) 365-2588,21-Aug-15,12:50:00
12007,Kings--Hants,Kings--Hants,Rhinoceros Party,Parti Rhinocéros,Brown-Hodges,Megan,,(902) 300-0103,4-Sep-15,9:25:00
12007,Kings--Hants,Kings--Hants,Green Party of Canada,Le Parti Vert du Canada,Cooper,Will,,,18-Sep-15,10:30:00
12007,Kings--Hants,Kings--Hants,New Democratic Party,Nouveau Parti démocratique,Curry,Hugh,,(902) 637-8683,18-Sep-15,4:36:00
12007,Kings--Hants,Kings--Hants,Conservative Party of Canada,Parti conservateur du Canada,Morse,David,,(902) 375-3222,25-Aug-15,12:09:00
12007,Kings--Hants,Kings--Hants,Independent,Indépendant,Twohig,Edd,,(902) 691-2866,22-Sep-15,1:36:00
12007,Kings--Hants,Kings--Hants,Independent,Indépendant,Williams,Clifford James,,(902) 223-7384,16-Sep-15,2:30:00
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Green Party of Canada,Le Parti Vert du Canada,Montgomery,Mike,,,15-Sep-15,3:28:00
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Liberal Party of Canada,Parti libéral du Canada,Samson,Darrell,,(902) 580-6112,19-Aug-15,12:06:00
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,New Democratic Party,Nouveau Parti démocratique,Stoffer,Peter,,(902) 864-1212,4-Sep-15,1:53:00
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Conservative Party of Canada,Parti conservateur du Canada,Strickland,Robert Thomas,,(902) 449-8281,4-Sep-15,4:22:00
12009,South Shore--St. Margarets,South Shore--St. Margarets,Communist Party of Canada,Parti communiste du Canada,Barry,Ryan,,(902) 670-4398,11-Sep-15,3:30:00
12009,South Shore--St. Margarets,South Shore--St. Margarets,Green Party of Canada,Le Parti Vert du Canada,Biggar,Richard,,,19-Sep-15,9:35:00
12009,South Shore--St. Margarets,South Shore--St. Margarets,Independent,Indépendant,Bruhm,Trevor,,(902) 543-6643,25-Sep-15,11:00:00
12009,South Shore--St. Margarets,South Shore--St. Margarets,Conservative Party of Canada,Parti conservateur du Canada,Clark,Richard,,(844) 527-0615,21-Aug-15,12:35:00
12009,South Shore--St. Margarets,South Shore--St. Margarets,New Democratic Party,Nouveau Parti démocratique,Godbold,Alex,,(902) 527-0322,27-Aug-15,4:15:00
12009,South Shore--St. Margarets,South Shore--St. Margarets,Liberal Party of Canada,Parti libéral du Canada,Jordan,Bernadette,,(902) 543-3619,19-Aug-15,2:20:00
12010,Sydney--Victoria,Sydney--Victoria,Conservative Party of Canada,Parti conservateur du Canada,Chiasson,John Douglas,,(902) 562-0033,10-Sep-15,11:00:00
12010,Sydney--Victoria,Sydney--Victoria,New Democratic Party,Nouveau Parti démocratique,Dutt,Monika,,(902) 539-8686,11-Sep-15,8:03:00
12010,Sydney--Victoria,Sydney--Victoria,Liberal Party of Canada,Parti libéral du Canada,Eyking,Mark,,(902) 539-4110,16-Sep-15,6:17:00
12010,Sydney--Victoria,Sydney--Victoria,Libertarian Party of Canada,Parti Libertarien du Canada,Hiscock,Wayne James,,(902) 574-2014,21-Sep-15,4:44:00
12010,Sydney--Victoria,Sydney--Victoria,Green Party of Canada,Le Parti Vert du Canada,MacKinnon,Adrianna,,,26-Aug-15,3:00:00
12011,West Nova,Nova-Ouest,New Democratic Party,Nouveau Parti démocratique,Foster,Greg,,(902) 824-2158,5-Sep-15,10:15:00
12011,West Nova,Nova-Ouest,Liberal Party of Canada,Parti libéral du Canada,Fraser,Colin,,(902) 749-6363,18-Aug-15,2:12:00
12011,West Nova,Nova-Ouest,Conservative Party of Canada,Parti conservateur du Canada,LeBlanc,Arnold,,(902) 746-3343,20-Aug-15,3:00:00
12011,West Nova,Nova-Ouest,Green Party of Canada,Le Parti Vert du Canada,Walton,Clark,,1 877 201-4948,30-Aug-15,12:30:00
13001,Acadie--Bathurst,Acadie--Bathurst,Green Party of Canada,Le Parti Vert du Canada,Breau,Dominique,,(506) 395-2211,19-Aug-15,4:30:00
13001,Acadie--Bathurst,Acadie--Bathurst,Liberal Party of Canada,Parti libéral du Canada,Cormier,Serge,,(506) 727-2400,24-Aug-15,11:45:00
13001,Acadie--Bathurst,Acadie--Bathurst,Conservative Party of Canada,Parti conservateur du Canada,Girouard-Riordon,Riba,,(506) 764-2937,25-Sep-15,2:05:00
13001,Acadie--Bathurst,Acadie--Bathurst,New Democratic Party,Nouveau Parti démocratique,Godin,Jason,,(506) 783-2276,20-Aug-15,11:25:00
13002,Beauséjour,Beauséjour,Conservative Party of Canada,Parti conservateur du Canada,Bastarache,Ann,,,23-Sep-15,10:50:00
13002,Beauséjour,Beauséjour,New Democratic Party,Nouveau Parti démocratique,Boudreau,Hélène,,(506) 233-6731,5-Sep-15,5:22:00
13002,Beauséjour,Beauséjour,Green Party of Canada,Le Parti Vert du Canada,King,Kevin,,0,29-Aug-15,10:30:00
13002,Beauséjour,Beauséjour,Liberal Party of Canada,Parti libéral du Canada,LeBlanc,Dominic,,(506) 533-2015,12-Aug-15,6:00:00
13003,Fredericton,Fredericton,Conservative Party of Canada,Parti conservateur du Canada,Ashfield,Keith,,(506) 455-2211,21-Aug-15,12:00:00
13003,Fredericton,Fredericton,Green Party of Canada,Le Parti Vert du Canada,Babineau,Mary Lou,,(506) 451-8683,13-Aug-15,6:51:00
13003,Fredericton,Fredericton,Liberal Party of Canada,Parti libéral du Canada,DeCourcey,Matt,,(506) 478-7805,25-Aug-15,5:00:00
13003,Fredericton,Fredericton,New Democratic Party,Nouveau Parti démocratique,Scott-Levesque,Sharon,,(506) 454-6813,8-Sep-15,3:30:00
13004,Fundy Royal,Fundy Royal,Independent,Indépendant,Amos,David Raymond,,(902) 800-0369,28-Sep-15,3:40:00
13004,Fundy Royal,Fundy Royal,Green Party of Canada,Le Parti Vert du Canada,Coburn,Stephanie,,(506) 433-4885,14-Aug-15,1:25:00
13004,Fundy Royal,Fundy Royal,Liberal Party of Canada,Parti libéral du Canada,Lockhart,Alaina,,(844) 946-2015,19-Aug-15,1:30:00
13004,Fundy Royal,Fundy Royal,New Democratic Party,Nouveau Parti démocratique,McKenzie,Jennifer,,(844) 255-5366,18-Aug-15,11:00:00
13004,Fundy Royal,Fundy Royal,Conservative Party of Canada,Parti conservateur du Canada,Moore,Rob,,(844) 847-4605,17-Aug-15,4:36:00
13005,Madawaska--Restigouche,Madawaska--Restigouche,Liberal Party of Canada,Parti libéral du Canada,Arseneault,René,,(506) 753-6121,26-Aug-15,11:42:00
13005,Madawaska--Restigouche,Madawaska--Restigouche,Green Party of Canada,Le Parti Vert du Canada,Aubin,Françoise,,1 866 868-3447,25-Sep-15,6:41:00
13005,Madawaska--Restigouche,Madawaska--Restigouche,New Democratic Party,Nouveau Parti démocratique,L'Italien,Rosaire,,(506) 739-1010,6-Sep-15,11:05:00
13005,Madawaska--Restigouche,Madawaska--Restigouche,Conservative Party of Canada,Parti conservateur du Canada,Valcourt,Bernard,,(506) 735-3303,26-Aug-15,12:36:00
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Green Party of Canada,Le Parti Vert du Canada,Clark,Matthew Ian,,(506) 962-9133,14-Sep-15,4:27:00
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,New Democratic Party,Nouveau Parti démocratique,Colford,Patrick,,(506) 626-2074,3-Sep-15,5:21:00
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Liberal Party of Canada,Parti libéral du Canada,Finnigan,Pat,,(506) 623-1238,28-Aug-15,12:22:00
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Conservative Party of Canada,Parti conservateur du Canada,O'Neill-Gordon,Tilly,,(506) 622-7161,15-Aug-15,2:20:00
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Conservative Party of Canada,Parti conservateur du Canada,Goguen,Robert,,(506) 389-9855,20-Aug-15,4:03:00
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,New Democratic Party,Nouveau Parti démocratique,LeBlanc,Luc,,(506) 382-9249,27-Aug-15,12:10:00
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Green Party of Canada,Le Parti Vert du Canada,Melanson,Luc,,(506) 962-9133,13-Aug-15,2:15:00
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Liberal Party of Canada,Parti libéral du Canada,Petitpas Taylor,Ginette,,(506) 830-8400,20-Aug-15,12:25:00
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,New Democratic Party,Nouveau Parti démocratique,Graham,Andrew,,(506) 721-0512,12-Sep-15,10:00:00
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Liberal Party of Canada,Parti libéral du Canada,Ludwig,Karen,,(844) 355-2736,1-Sep-15,9:15:00
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Green Party of Canada,Le Parti Vert du Canada,MacIntosh,Gayla,,(506) 454-0351,22-Aug-15,1:45:00
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Conservative Party of Canada,Parti conservateur du Canada,Williamson,John,,(844) 481-4707,21-Aug-15,11:45:00
13009,Saint John--Rothesay,Saint John--Rothesay,New Democratic Party,Nouveau Parti démocratique,Griffin,AJ,,,4-Sep-15,11:10:00
13009,Saint John--Rothesay,Saint John--Rothesay,Liberal Party of Canada,Parti libéral du Canada,Long,Wayne,,(506) 214-6292,3-Sep-15,2:45:00
13009,Saint John--Rothesay,Saint John--Rothesay,Green Party of Canada,Le Parti Vert du Canada,Murphy,Sharon,,,16-Sep-15,3:30:00
13009,Saint John--Rothesay,Saint John--Rothesay,Conservative Party of Canada,Parti conservateur du Canada,Weston,Rodney,,(506) 652-2015,3-Sep-15,4:05:00
13010,Tobique--Mactaquac,Tobique--Mactaquac,Conservative Party of Canada,Parti conservateur du Canada,Bragdon,Richard,,(844) 388-9388,13-Aug-15,11:30:00
13010,Tobique--Mactaquac,Tobique--Mactaquac,Liberal Party of Canada,Parti libéral du Canada,Harvey,TJ,,(506) 392-5264,18-Aug-15,12:37:00
13010,Tobique--Mactaquac,Tobique--Mactaquac,New Democratic Party,Nouveau Parti démocratique,Kitchen,Robert,,,10-Sep-15,12:04:00
13010,Tobique--Mactaquac,Tobique--Mactaquac,Green Party of Canada,Le Parti Vert du Canada,Wishart,Terry,,(506) 366-3744,24-Aug-15,3:00:00
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Green Party of Canada,Le Parti Vert du Canada,Benoît,Patrick,,(819) 527-6335,28-Aug-15,4:50:00
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Liberal Party of Canada,Parti libéral du Canada,Dufour,Pierre,,(819) 831-5747,14-Sep-15,5:45:00
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Bloc Québécois,Bloc Québécois,Ferland,Luc,,(819) 860-0057,21-Aug-15,4:40:00
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Rhinoceros Party,Parti Rhinocéros,Gagnon,Mario,,(581) 624-2530,22-Sep-15,7:10:00
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Conservative Party of Canada,Parti conservateur du Canada,Hébert,Steven,,,25-Aug-15,3:15:00
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,New Democratic Party,Nouveau Parti démocratique,Saganash,Romeo,,(819) 824-1236,19-Aug-15,10:00:00
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Green Party of Canada,Le Parti Vert du Canada,Bégin,Aline,,,14-Aug-15,6:12:00
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Conservative Party of Canada,Parti conservateur du Canada,Fortin,Benoit,,,10-Sep-15,10:19:00
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Rhinoceros Party,Parti Rhinocéros,Gélinas,Pascal Le Fou,,(819) 762-7852,23-Sep-15,2:05:00
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,New Democratic Party,Nouveau Parti démocratique,Moore,Christine,,(819) 762-0773,18-Aug-15,6:54:00
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Bloc Québécois,Bloc Québécois,Moreau,Yvon,,(819) 762-1710,29-Aug-15,8:49:00
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Liberal Party of Canada,Parti libéral du Canada,Thibault,Claude,,1 877 760-4646,1-Sep-15,9:52:00
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Bloc Québécois,Bloc Québécois,Bourdon,Nicolas,,(514) 552-9802,25-Aug-15,2:30:00
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Rhinoceros Party,Parti Rhinocéros,Gascon-David,Catherine,,,28-Sep-15,4:30:00
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Liberal Party of Canada,Parti libéral du Canada,Joly,Mélanie,,(514) 798-6766,6-Sep-15,11:00:00
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Green Party of Canada,Le Parti Vert du Canada,Mercier,Gilles,,,14-Aug-15,8:15:00
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Conservative Party of Canada,Parti conservateur du Canada,Moughrabi,Wiliam,,,16-Aug-15,4:00:00
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,New Democratic Party,Nouveau Parti démocratique,Mourani,Maria,,(514) 370-8782,20-Aug-15,1:00:00
24004,Alfred-Pellan,Alfred-Pellan,Green Party of Canada,Le Parti Vert du Canada,Briguene,Lynda,,(514) 616-8280,10-Sep-15,2:30:00
24004,Alfred-Pellan,Alfred-Pellan,New Democratic Party,Nouveau Parti démocratique,Doré Lefebvre,Rosane,,(514) 312-1875,20-Aug-15,11:00:00
24004,Alfred-Pellan,Alfred-Pellan,Liberal Party of Canada,Parti libéral du Canada,Iacono,Angelo,,(450) 575-0920,30-Aug-15,8:35:00
24004,Alfred-Pellan,Alfred-Pellan,Independent,Indépendant,Isopo,Renata,,(514) 758-7171,28-Sep-15,9:00:00
24004,Alfred-Pellan,Alfred-Pellan,Conservative Party of Canada,Parti conservateur du Canada,Purcarus,Gabriel,,(514) 998-7927,15-Aug-15,10:00:00
24004,Alfred-Pellan,Alfred-Pellan,Bloc Québécois,Bloc Québécois,St-Hilaire,Daniel,,,14-Aug-15,6:00:00
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Bloc Québécois,Bloc Québécois,Beauchamp,Jonathan,,(819) 983-1707,17-Sep-15,1:50:00
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,New Democratic Party,Nouveau Parti démocratique,Crête,Chantal,,(819) 983-1033,2-Sep-15,2:30:00
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Conservative Party of Canada,Parti conservateur du Canada,Hupé-Labelle,Maxime,,(844) 281-2015,24-Aug-15,4:55:00
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Green Party of Canada,Le Parti Vert du Canada,Lamarche,Audrey,,,25-Sep-15,3:21:00
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Liberal Party of Canada,Parti libéral du Canada,Lauzon,Stéphane,,(819) 592-6015,24-Aug-15,7:33:00
